cause,effect,cause_topic,effect_topic,paper_name,source_id,conf_topic,path_to_cause,path_to_effect,to_cause_sources,to_effect_sources,to_cause_len,to_effect_len,conf_papers,within_same_paper
the minimum wage hike,This lack of significant employment effects attributable to the minimum wage hike,topic_4004,topic_5459,Does Minimum Wage Increase Labor Productivity? Evidence from Piece Rate Workers,66777,topic_2225,"
low-productivity workers are overall employed less frequently than high-productivity workers --> the minimum wage hike","
low-fixed-effect workers are more likely to fall below a minimum wage than are high-fixed-effect workers when subject to a common production environment --> a disproportionate increase in observed productivity in the lower part of the fixed effects distribution should be expected as the minimum wage increases",[67027],[66872],1,1,['Does Minimum Wage Increase Labor Productivity? Evidence from Piece Rate Workers'],TRUE
wealthier households sort into upwind neighborhoods,poorer populations may have greater vulnerability to airborne pollutants,topic_1659,topic_1938,Long-Run Consequences of Exposure to Natural Disasters,9578,topic_7477,"
winds follow predictable patterns --> wealthier households sort into upwind neighborhoods","
winds follow predictable patterns --> poorer populations may have greater vulnerability to airborne pollutants",[9580],[9576],1,1,['Long-Run Consequences of Exposure to Natural Disasters'],TRUE
wages incorporate information about a worker’s outside option(s),Bargaining models and explanations based on them assume that workers have the ability to negotiate compensation,topic_637,topic_5382,Wage Posting or Wage Bargaining? A Test Using Dual Jobholders,81414,topic_3566,"
the minimum wage --> employment and wages","
The minimum wage --> may also raise the bargaining power of existing workers",[50090],[50282],1,1,"['State Minimum Wages, Employment, and Wage Spillovers: Evidence from Administrative Payroll Data']",FALSE
secondary job wages,Primary job wages rise,topic_637,topic_3643,Wage Posting or Wage Bargaining? A Test Using Dual Jobholders,81516,topic_4323,"
the 1966 Fair Labor Standards Act (FLSA) --> wage and employment","
the 1966 Amendments to the Fair Labor Standards Act --> substantially increased wages for a large group of workers across the country",[60556],[63145],1,1,"['Introduction: Essays in Honor of John E. DiNardo', 'The Economic Impact of a High National Minimum Wage: Evidence from the 1966 Fair Labor Standards Act']",FALSE
primary job wages,Secondary job hours fall and secondary job separation rates rise,topic_637,topic_7108,Wage Posting or Wage Bargaining? A Test Using Dual Jobholders,81524,topic_104,"
job loss shocks --> having a job and wages","
around the time of the job loss shock --> labor supply and income experience a sharp drop",[1741],[1015],1,1,['Blame the Parents? How Parental Unemployment Affects Labor Supply and Job Quality for Young Adults'],FALSE
"With a quota, some rents go to the firms",women receive ex ante a lower wage unless a quota leads to a better allocation of women,topic_2639,topic_2328,Labor Market Quotas When Promotions Are Signals,46850,topic_34,"
With a quota --> some rents go to the firms","
a quota --> women receive ex ante a lower wage unless a quota leads to a better allocation of women",[46847],[46851],1,1,['Labor Market Quotas When Promotions Are Signals'],TRUE
the current firm receives the rent,incentives to screen are strong,topic_2639,topic_6702,Labor Market Quotas When Promotions Are Signals,46656,topic_34,"
With a quota --> some rents go to the firms","
a quota --> strengthens firms’ incentives to screen",[46847],[46642],1,1,['Labor Market Quotas When Promotions Are Signals'],TRUE
changes in oil prices,the earnings of workers across a sample of petroleum extraction firms,topic_1602,topic_3054,Rent Sharing within Firms,80010,topic_2176,"
employee compensation --> changes in the price of crude oil outside petroleum extraction firms","
employee compensation --> the price of crude oil across the distribution of earnings within these firms",[80173],[80177],1,1,['Rent Sharing within Firms'],TRUE
changes in oil prices,even workers at the top of the earnings distribution within petroleum refining and air transportation firms,topic_1602,topic_3054,Rent Sharing within Firms,80174,topic_2176,"
employee compensation --> changes in the price of crude oil outside petroleum extraction firms","
employee compensation --> the price of crude oil across the distribution of earnings within these firms",[80173],[80177],1,1,['Rent Sharing within Firms'],TRUE
oil price movements,workers respond more to the probability of getting a job as signaled,topic_1602,topic_1695,Economy-Wide Spillovers from Booms: Long-Distance Commuting and the Spread of Wage Effects,20999,topic_3312,"
wage changes in the industry --> lag oil price movements by 1 or 2 years","
wages changes --> workers respond more to the probability of getting a job",[20852],[21001],1,1,['Economy-Wide Spillovers from Booms: Long-Distance Commuting and the Spread of Wage Effects'],TRUE
oil price movements,workers respond more to the probability of getting a job,topic_1602,topic_1695,Economy-Wide Spillovers from Booms: Long-Distance Commuting and the Spread of Wage Effects,21000,topic_3312,"
wage changes in the industry --> lag oil price movements by 1 or 2 years","
wages changes --> workers respond more to the probability of getting a job",[20852],[21001],1,1,['Economy-Wide Spillovers from Booms: Long-Distance Commuting and the Spread of Wage Effects'],TRUE
positive and negative changes in petroleum prices,significant asymmetry in the elasticity of rent sharing,topic_1602,topic_3739,Rent Sharing within Firms,80016,topic_3995,"
the earnings of workers --> negative changes in the price of crude oil","
for workers at the top of the earnings distribution --> the elasticity of rent sharing is heterogeneous within firms and significantly higher",[80088],[79996],1,1,['Rent Sharing within Firms'],TRUE
increases and decreases in the price of crude oil,the elasticity of rent sharing may be asymmetric,topic_1602,topic_3739,Rent Sharing within Firms,80090,topic_3995,"
the earnings of workers --> negative changes in the price of crude oil","
for workers at the top of the earnings distribution --> the elasticity of rent sharing is heterogeneous within firms and significantly higher",[80088],[79996],1,1,['Rent Sharing within Firms'],TRUE
